metric,rho_partial,p_value
CHM,,
CHD,,
IFN,,
IRN,-0.012976530760905772,0.8431435974578214
OPN,,
SMQ,0.16549310102467352,0.011054257277510056
SCOH,0.3374006681201189,1.1521210342619485e-07
SCOP,-0.06725069064909055,0.3046092828203995
CMQ,0.03517971218953989,0.5915541160844512
CCOH,0.04477458727417597,0.4945663033296744
CCOP,-0.02368174449411437,0.7179879516829765
