decomposition,mean_rank,std_rank,consensus_position
A,3.9,1.044030650891055,3.0
B,4.6,1.2806248474865698,6.0
C,2.1,1.044030650891055,1.0
D,4.0,1.8973665961010275,4.0
E,4.3,1.6155494421403513,5.0
F,3.4,1.9595917942265424,2.0
