04_03_11_03_27_241299,0.3,0.569574534942182,0.3046304932229302,1.25,59.0,71.0,0.22837301587301584,0.36666666666666664,0.1382936507936508,0.4244897959183674,0.43809523809523815,0.013605442176870748,7
04_03_11_03_27_249503,0.3,0.5655479242979242,0.3156415643180349,1.25,53.0,71.0,0.2523809523809524,0.3380952380952381,0.08571428571428572,0.5505668934240363,0.5619047619047619,0.011337868480725623,7
04_03_11_03_27_256025,0.3,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_261562,0.4,0.5655479242979242,0.3156415643180349,1.25,53.0,71.0,0.2523809523809524,0.3380952380952381,0.08571428571428572,0.5505668934240363,0.5619047619047619,0.011337868480725623,7
04_03_11_03_27_268269,0.4,0.5655479242979242,0.3156415643180349,1.25,54.0,71.0,0.24761904761904763,0.3380952380952381,0.09047619047619047,0.5219954648526077,0.5333333333333333,0.011337868480725623,7
04_03_11_03_27_275317,0.4,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_281220,0.5,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_287827,0.5,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_293517,0.5,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_299778,0.6,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_308771,0.6,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_315570,0.6,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_322892,0.7,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_332419,0.7,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_341419,0.7,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_349014,0.8,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_355784,0.8,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.38611111111111107,0.10444444444444444,0.4444444444444444,0.4666666666666666,0.02222222222222222,6
04_03_11_03_27_361749,0.8,0.5655479242979242,0.3156415643180349,1.25,41.0,71.0,0.16329365079365082,0.2636904761904762,0.10039682539682539,0.28571428571428575,0.36904761904761907,0.08333333333333333,4
04_03_11_03_27_372697,0.9,0.5655479242979242,0.3156415643180349,1.25,41.0,71.0,0.16329365079365082,0.2636904761904762,0.10039682539682539,0.28571428571428575,0.36904761904761907,0.08333333333333333,4
04_03_11_03_27_383149,0.9,0.5655479242979242,0.3156415643180349,1.25,41.0,71.0,0.16329365079365082,0.2636904761904762,0.10039682539682539,0.28571428571428575,0.36904761904761907,0.08333333333333333,4
04_03_11_03_27_390411,0.9,0.5655479242979242,0.3156415643180349,1.25,41.0,71.0,0.16329365079365082,0.2636904761904762,0.10039682539682539,0.28571428571428575,0.36904761904761907,0.08333333333333333,4
04_03_11_03_27_398275,1.0,0.5655479242979242,0.3156415643180349,1.25,41.0,71.0,0.16329365079365082,0.2636904761904762,0.10039682539682539,0.28571428571428575,0.36904761904761907,0.08333333333333333,4
04_03_11_03_27_406835,1.0,0.5655479242979242,0.3156415643180349,1.25,41.0,71.0,0.16329365079365082,0.2636904761904762,0.10039682539682539,0.28571428571428575,0.36904761904761907,0.08333333333333333,4
04_03_11_03_27_414289,1.0,0.5655479242979242,0.3156415643180349,1.25,41.0,71.0,0.16329365079365082,0.2636904761904762,0.10039682539682539,0.28571428571428575,0.36904761904761907,0.08333333333333333,4
