ID,RESOLUTION,CHM,CHD,IFN,IRN,OPN,SMQ,SCOH,SCOP,CMQ,CCOH,CCOP,SERVICES,K,NMI,NMI_filtered,penalty_swm,penalty_mean,score_swm,penalty_rel_swm,H_global,n_clusters
04_03_11_03_27_241299,0.3,0.569574534942182,0.3046304932229302,1.25,59.0,71.0,0.2283730158730158,0.3666666666666666,0.1382936507936508,0.4244897959183674,0.4380952380952381,0.0136054421768707,7,8,0.5875889217950285,0.6289160902708235,0.47849572724781075,0.4876081148670054,0.5215042727521892,0.5089409715340226,0.9401792231534327,7.0
04_03_11_03_27_249503,0.3,0.5655479242979242,0.3156415643180349,1.25,53.0,71.0,0.2523809523809524,0.3380952380952381,0.0857142857142857,0.5505668934240363,0.5619047619047619,0.0113378684807256,7,8,0.568347794161802,0.6305397069507097,0.49870869015485186,0.47276540048588356,0.5012913098451481,0.5304400244903784,0.9401792231534328,7.0
04_03_11_03_27_256025,0.3,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.386111111111111,0.1044444444444444,0.4444444444444444,0.4666666666666666,0.0222222222222222,6,8,0.5840653343692429,0.6492824478261687,0.49995792322339055,0.49319615244681475,0.5000420767766094,0.5317687425026194,0.9401792231534328,6.0
04_03_11_03_27_261562,0.4,0.5655479242979242,0.3156415643180349,1.25,53.0,71.0,0.2523809523809524,0.3380952380952381,0.0857142857142857,0.5505668934240363,0.5619047619047619,0.0113378684807256,7,8,0.568347794161802,0.6305397069507097,0.49870869015485186,0.47276540048588356,0.5012913098451481,0.5304400244903784,0.9401792231534328,7.0
04_03_11_03_27_268269,0.4,0.5655479242979242,0.3156415643180349,1.25,54.0,71.0,0.2476190476190476,0.3380952380952381,0.0904761904761904,0.5219954648526077,0.5333333333333333,0.0113378684807256,7,8,0.568347794161802,0.6305397069507097,0.4965007452128705,0.45980146933322485,0.5034992547871295,0.528091594651038,0.9401792231534328,7.0
04_03_11_03_27_275317,0.4,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.386111111111111,0.1044444444444444,0.4444444444444444,0.4666666666666666,0.0222222222222222,6,8,0.5840653343692429,0.6492824478261687,0.49995792322339055,0.49319615244681475,0.5000420767766094,0.5317687425026194,0.9401792231534328,6.0
04_03_11_03_27_281220,0.5,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.386111111111111,0.1044444444444444,0.4444444444444444,0.4666666666666666,0.0222222222222222,6,8,0.5840653343692429,0.6492824478261687,0.49995792322339055,0.49319615244681475,0.5000420767766094,0.5317687425026194,0.9401792231534328,6.0
04_03_11_03_27_287827,0.5,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.386111111111111,0.1044444444444444,0.4444444444444444,0.4666666666666666,0.0222222222222222,6,8,0.5840653343692429,0.6492824478261687,0.49995792322339055,0.49319615244681475,0.5000420767766094,0.5317687425026194,0.9401792231534328,6.0
04_03_11_03_27_308771,0.6,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.386111111111111,0.1044444444444444,0.4444444444444444,0.4666666666666666,0.0222222222222222,6,8,0.5840653343692429,0.6492824478261687,0.49995792322339055,0.49319615244681475,0.5000420767766094,0.5317687425026194,0.9401792231534328,6.0
04_03_11_03_27_322892,0.7,0.5655479242979242,0.3156415643180349,1.25,51.0,71.0,0.2816666666666666,0.386111111111111,0.1044444444444444,0.4444444444444444,0.4666666666666666,0.0222222222222222,6,8,0.5840653343692429,0.6492824478261687,0.49995792322339055,0.49319615244681475,0.5000420767766094,0.5317687425026194,0.9401792231534328,6.0
