ID,RESOLUTION,CHM,CHD,IFN,IRN,OPN,SMQ,SCOH,SCOP,CMQ,CCOH,CCOP,SERVICES,K,NMI,NMI_filtered,penalty_swm,penalty_mean,score_swm,penalty_rel_swm,H_global,n_clusters
04_03_18_02_02_826045,0.3,0.4199134199134199,0.3795007902150759,1.0,525.0,22.0,-1.2792824074074076,0.2555555555555555,1.5348379629629632,0.5671296296296295,0.574074074074074,0.0069444444444444,9,18,0.479077095657753,0.4562262957202899,0.5369862536034898,0.4471824373502204,0.46301374639651016,0.5551969043179352,0.9671996537213814,9.0
04_03_18_02_02_831359,0.3,0.4199134199134199,0.3795007902150759,1.0,376.0,22.0,-0.0913636363636363,0.3583333333333333,0.4496969696969696,0.6442424242424243,0.6575757575757576,0.0133333333333333,6,18,0.3515386714455588,0.41772383315815126,0.6905251530508526,0.4623683073145002,0.3094748469491474,0.7139427215404797,0.9671996537213814,6.0
04_03_18_02_02_836089,0.3,0.4199134199134199,0.3795007902150759,1.0,392.0,22.0,-0.2772435897435897,0.1362179487179487,0.4134615384615384,0.845859497645212,0.8509615384615384,0.0051020408163265,8,18,0.3394805559805772,0.349833883341109,0.7332086583609687,0.43447380916550393,0.2667913416390313,0.7545533751403464,0.9717121180785818,8.0
04_03_18_02_02_841347,0.4,0.4199134199134199,0.3795007902150759,1.0,133.0,22.0,-0.0114583333333333,0.3666666666666666,0.378125,0.4678787878787879,0.4878787878787879,0.02,5,18,0.28742029272434494,0.2703740960501575,0.7493818526644168,0.5636645247328766,0.2506181473355832,0.7747954104213206,0.9671996537213814,5.0
04_03_18_02_02_846283,0.4,0.4199134199134199,0.3795007902150759,1.0,113.0,22.0,0.0111904761904761,0.3328571428571428,0.3216666666666666,0.6338095238095238,0.6438095238095238,0.01,5,18,0.22500383944282204,0.21713410217965762,0.8023127713006688,0.4986441762779803,0.1976872286993312,0.8295213591254952,0.9671996537213816,5.0
04_03_18_02_02_850690,0.4,0.4199134199134199,0.3795007902150759,1.0,480.0,22.0,-1.65828373015873,0.2493055555555555,1.907589285714285,0.6524092970521541,0.6638888888888889,0.0114795918367346,8,18,0.375258970323514,0.3281810055589822,0.6566310306680879,0.4727956089689335,0.3433689693319121,0.6788991581434559,0.9671996537213814,8.0
04_03_18_02_02_855472,0.5,0.4199134199134199,0.3795007902150759,1.0,365.0,22.0,-0.2223076923076922,0.2879487179487179,0.5102564102564102,0.4923076923076922,0.5123076923076922,0.02,5,18,0.22877216480066598,0.241752870447477,0.7917840184478927,0.5625568484071221,0.2082159815521073,0.8186355478948296,0.9671996537213816,5.0
04_03_18_02_02_860019,0.5,0.4199134199134199,0.3795007902150759,1.0,416.0,22.0,-0.140432098765432,0.1790123456790123,0.3194444444444444,0.6450617283950617,0.6481481481481481,0.0030864197530864,9,18,0.3874248470384722,0.4411671407693603,0.6297218193445959,0.39166696705077936,0.3702781806554041,0.651077382959856,0.9671996537213814,9.0
04_03_18_02_02_864637,0.5,0.4199134199134199,0.3795007902150759,1.0,364.0,22.0,-0.2638736263736264,0.315054945054945,0.5789285714285715,0.5505494505494506,0.5705494505494506,0.02,5,18,0.24327875365244261,0.26095828552398115,0.794578478493209,0.5366141711798236,0.20542152150679105,0.8215247756096704,0.9671996537213816,5.0
04_03_18_02_02_869340,0.6,0.4199134199134199,0.3795007902150759,1.0,364.0,22.0,-0.2638736263736264,0.315054945054945,0.5789285714285715,0.5505494505494506,0.5705494505494506,0.02,5,18,0.24327875365244261,0.26095828552398115,0.794578478493209,0.5366141711798236,0.20542152150679105,0.8215247756096704,0.9671996537213816,5.0
