system,nmi_min,nmi_max,nmi_std,nmi_range,nmi_filtered_min,nmi_filtered_max,nmi_filtered_std,nmi_filtered_range,pen_swm_std
cargo,0.0980230138690646,0.3301326213279161,0.03698667516317321,0.2321096074588515,0.1001851986788945,0.3395965410110217,0.04186132060611794,0.2394113423321272,0.047024067978916666
jpetstore,0.3966675721273858,0.6742029123708987,0.06233462854606938,0.2775353402435129,0.4672550580935243,0.7152236837398368,0.06168703488044586,0.2479686256463125,0.06936784066219233
daytrader,0.1404895869967744,0.479077095657753,0.0654546922369205,0.33858750866097864,0.18075626597881,0.5178499225305806,0.07151726754358426,0.3370936565517706,0.0644818524603104
