ID,pen_data
04_03_17_34_49_071033,0.09770114942528735
04_03_17_34_49_087947,0.6149425287356322
04_03_17_34_49_104305,0.4339080459770115
04_03_17_34_49_117768,0.4339080459770115
04_03_17_34_49_131301,0.5028735632183908
04_03_17_34_49_149601,0.4511494252873563
04_03_17_34_49_167869,0.5881226053639846
04_03_17_34_49_181850,0.13793103448275862
04_03_17_34_49_198912,0.4511494252873563
04_03_17_34_49_212981,0.4176929392446634
04_03_17_34_49_230942,0.6063218390804598
04_03_17_34_49_250545,0.4224137931034483
04_03_17_34_49_265366,1.744928845101259
04_03_17_34_49_280322,1.2561576354679802
04_03_17_34_49_292901,0.4339080459770115
04_03_17_34_49_302136,1.3033415435139573
04_03_17_34_49_311207,1.278103448275862
04_03_17_34_49_321515,1.3033415435139573
04_03_17_34_49_331757,1.0862858405961855
04_03_17_34_49_341293,1.0862858405961855
04_03_17_34_49_350222,1.278103448275862
04_03_17_34_49_360032,1.0862858405961855
04_03_17_37_53_162105,0.4511494252873563
04_03_17_37_53_167197,0.9595964380447138
04_03_17_37_53_174645,0.9571778264307
04_03_17_37_53_179840,0.22790853250623364
04_03_17_37_53_184254,0.9571778264307
04_03_17_37_53_190772,0.9571778264307
04_03_17_37_53_196428,0.9595964380447138
04_03_17_37_53_201746,0.9595964380447138
04_03_17_37_53_206645,0.4899741063534167
04_03_17_37_53_218332,0.9595964380447138
04_03_17_37_53_223205,0.9595964380447138
04_03_17_37_53_229633,0.9595964380447138
04_03_17_37_53_239985,0.9571778264307
04_03_17_37_53_246090,0.9595964380447138
04_03_17_37_53_263156,0.9595964380447138
04_03_17_37_53_294362,0.9571778264307
04_03_17_40_47_305106,0.24220032840722494
04_03_17_40_47_313568,0.6631179739800429
04_03_17_40_47_320817,1.7651923427785496
04_03_17_40_47_326716,0.47074333712264743
04_03_17_40_47_333181,0.2545460074195706
04_03_17_40_47_338157,0.2545460074195706
04_03_17_40_47_345475,0.2545460074195706
04_03_17_40_47_352400,0.2147909561702665
04_03_17_40_47_358256,0.6479920143713247
04_03_17_40_47_363893,0.47074333712264743
04_03_17_40_47_371599,0.6479920143713247
04_03_17_40_47_379504,0.6479920143713247
04_03_17_40_47_386245,1.2543725527346217
04_03_17_40_47_393143,0.47074333712264743
04_03_17_40_47_398189,2.5819587596311733
